pod_name,namespace,cpu_request,cpu_limit,memory_request,memory_limit,cpu_usage,memory_usage,node_name,pod_status,restart_count,uptime_seconds,deployment_strategy,scaling_policy,network_bandwidth_usage
pod_13,dev,1.3917091019310805,3.700911061001408,3733.779058911038,2728.5813199527274,2.1373575438161923,2616.6617232099825,node_34,Unknown,6,45555,RollingUpdate,Manual,885.4646167062156
pod_14,kube-system,0.5661674932863032,2.1561960300382457,3836.3055808457757,6769.34901753795,0.702458523448326,5198.0345107326975,node_11,Failed,7,48075,Recreate,Auto,791.7684428327083
pod_15,default,0.7245284012756427,2.91194363893153,1958.4106716506753,4281.283997203737,2.1246885036568512,7476.1399810678295,node_16,Running,8,6108,RollingUpdate,Manual,98.43441593917723
pod_16,default,1.324303540093689,2.7639527527641765,283.0455366124869,7932.007513928132,2.1932813421400645,6001.018146336119,node_9,Pending,0,57711,RollingUpdate,Auto,542.2328334989061
pod_17,dev,1.177825445857284,3.2155748323848665,1718.2591228947929,3955.681045737604,1.0087064844572766,2782.899896366289,node_26,Running,1,56629,Recreate,Manual,667.2600715796142
pod_18,prod,1.019707844591892,1.1601046860506767,1245.8444241120994,2946.90454138245,2.1439878296755,1079.392038688673,node_46,Unknown,7,50319,RollingUpdate,Auto,518.8648847800816
pod_19,default,1.2870609431986713,1.944774635026382,2388.9354358272794,7714.76250271455,3.9126618251178145,3235.209210999188,node_12,Succeeded,2,68064,RollingUpdate,Manual,549.0945269448719
pod_20,default,0.9453802726126218,3.183421257161923,708.7141576873695,5011.944393737874,2.164679399829515,3203.802595964724,node_19,Failed,3,42736,Recreate,Manual,306.80761026851246
pod_21,default,1.8116407555567693,0.5291512494923059,792.8456199517162,6173.111508843811,0.9853646570193964,520.8891468493648,node_29,Running,0,40783,Recreate,Manual,946.5856077349347
pod_22,kube-system,0.8483389532886008,1.161515373615985,3711.4719074743703,7537.009736519893,0.8989683229982393,8159.104728044659,node_45,Running,9,1377,Recreate,Auto,934.0588704664625
pod_23,kube-system,0.12771320957474722,1.6085264439352396,3152.514368519493,1006.8393979477994,1.8016689874559217,5700.76910262018,node_7,Unknown,5,99550,RollingUpdate,Auto,188.08690083120126
pod_24,dev,1.4165505524846682,0.8097921929468008,627.6758693567112,6885.533782870492,1.7901099904938977,5770.941746610536,node_48,Succeeded,4,45,Recreate,Manual,920.2326021316761
pod_25,dev,0.10792893575058507,2.7588870242139207,1954.1694436600226,3445.8284892832567,1.6200167990109984,7528.656207960645,node_23,Failed,5,32316,RollingUpdate,Manual,732.308402417564
pod_26,dev,1.289343501001528,0.942822536284742,1168.9983558411666,720.5404286511127,2.347924943734636,1391.0491967578782,node_9,Succeeded,6,85130,Recreate,Auto,679.5823723189294
pod_27,kube-system,0.34797361361890766,2.56567526403372,1201.6598056053901,7704.133890738234,3.651049833917484,980.2813961116599,node_21,Unknown,9,25174,Recreate,Manual,826.4696472290152
pod_28,kube-system,1.2889493635686455,3.0866732589893635,4076.8524653586583,2283.2242308086275,1.9621373977842715,6804.3768066778575,node_36,Succeeded,8,81924,RollingUpdate,Manual,896.3383844725221
pod_29,prod,1.0564639109819658,3.567003628552119,3956.8548779953976,2045.927518848409,1.3793748578773224,3362.418313206367,node_18,Unknown,4,9449,Recreate,Auto,381.8175264937722
pod_30,prod,0.5521613927271828,1.3954861999688815,2785.7130986392617,5408.73619733738,1.003782199256821,6196.507272736279,node_44,Failed,4,10084,RollingUpdate,Manual,889.2367040157096
pod_31,default,1.920855749769507,2.7176294438684154,885.2217982174195,5776.692541722042,3.5399178176686856,3057.4200889133317,node_41,Failed,5,51617,Recreate,Auto,913.1895893997261
pod_32,kube-system,0.5683368281957988,1.9055630898211398,3946.942359075202,7572.247506801985,2.900312873900767,4105.216055150266,node_32,Failed,2,27209,RollingUpdate,Auto,897.9053956328539
pod_33,prod,0.980517741380414,1.633740380832815,1876.0390162657495,419.0354810169487,1.101445083716356,3578.9223516522334,node_49,Running,3,67999,Recreate,Auto,800.3794503045134
pod_34,kube-system,1.4583031783943092,3.603570550914532,3560.269996759411,5170.687290029795,3.9524039842629373,2192.2814478554246,node_48,Pending,4,3133,Recreate,Auto,737.1119199246455
pod_35,default,1.1639450761421848,1.5267354540895917,2602.2898500820897,1241.7141983754082,1.1507549980068017,541.9597085781852,node_12,Unknown,7,98454,Recreate,Auto,323.50566034375885
pod_36,dev,0.3463114138034804,3.3445120298691164,2199.7819829047635,5329.941325204791,2.9187904501850093,6604.526006871698,node_49,Running,7,22227,RollingUpdate,Manual,75.52252851777087
pod_37,kube-system,1.6764761836995934,1.0999395710688404,1053.3669562639416,945.7788605617801,1.2858496670423132,663.0843196232317,node_10,Succeeded,8,44000,RollingUpdate,Manual,617.486875861442
pod_38,prod,1.4047607199693957,3.1207387239561912,2810.8541558539087,947.5232866737642,2.111559933658882,4806.20027979811,node_24,Unknown,7,23927,RollingUpdate,Auto,567.5249103657204
pod_39,prod,1.5106159970436408,3.5565741410280265,2780.8379458490144,4790.393105290132,0.6557662985695445,321.986850111537,node_9,Pending,3,50988,RollingUpdate,Auto,808.7314125065352
pod_40,default,1.9032137116848866,3.3267178115260183,1414.586320616372,4089.624455472907,0.5682646911980376,6789.961141896394,node_32,Failed,9,74450,RollingUpdate,Manual,105.11411541166693
pod_41,kube-system,0.5231688448929848,3.7955711448645917,438.01630973782113,5502.636125423961,2.6668690780194058,6395.672218165562,node_27,Succeeded,6,69236,Recreate,Manual,251.01839549881677
pod_42,default,0.5411720470769217,2.7326316727145175,2260.3388330386038,6942.188407936115,2.7063981512749358,180.4469143565584,node_0,Succeeded,8,9383,Recreate,Auto,931.0341477872961
pod_43,kube-system,1.844678658174977,3.916016255277042,3304.9921634190664,531.8307667531806,2.484574145340385,4205.446048146614,node_10,Unknown,8,55514,Recreate,Auto,892.4869103572181
pod_44,prod,0.45524189509095647,3.9615471293380327,3051.951277132111,4737.991279248181,3.1974174762893606,6876.254001568321,node_22,Failed,7,32432,RollingUpdate,Manual,700.6037769466631
pod_45,prod,0.8596777960503839,0.5721867107858273,3363.923959194894,2427.671550930428,0.73050347744568,981.8123944938361,node_34,Pending,1,97841,RollingUpdate,Manual,921.9665850439619
pod_46,prod,1.535215970277385,1.3416266614443582,837.4542891141489,6614.597972929826,1.969487552440805,2421.4470833095374,node_44,Failed,2,66376,RollingUpdate,Auto,333.1372870388384
pod_47,default,0.14994395098961413,1.5983272331524918,1334.7831606365944,1255.2473665888283,3.2649044386545807,4840.707378409345,node_38,Failed,7,45663,RollingUpdate,Auto,12.631406892295027
pod_48,dev,1.0633083727504309,2.008211214804612,631.580450384628,1539.4915828291776,0.7039130208926241,2219.2663194473607,node_47,Pending,7,33431,Recreate,Manual,199.6103322624937
pod_49,kube-system,0.6091909267056609,2.0734193512056227,3549.6790724251728,5231.68540013586,1.0204858204385299,574.2778725292219,node_44,Pending,3,59378,RollingUpdate,Manual,755.8512497864981
pod_50,default,1.264298645347159,3.0000139092450975,749.8901811800488,5893.702741011289,1.673283533429598,2327.6418659083974,node_33,Succeeded,0,30973,Recreate,Manual,323.8550408614941
pod_51,dev,1.4448150801802635,1.4151275977496114,2862.7016046990725,2198.850816062446,1.9551477861469402,5966.1368797643545,node_20,Unknown,4,46336,Recreate,Manual,74.82086280672007
pod_52,default,0.37678010099159853,3.074123235817712,1491.6170854557345,3884.080651809489,3.102117376421053,6967.61704386653,node_7,Unknown,5,89236,Recreate,Auto,948.5825284683766
pod_53,prod,1.8935077836544774,2.1612714132414492,2094.204198725256,6938.733217743423,1.654919600199643,5019.486902393639,node_4,Pending,3,26512,Recreate,Manual,886.3892297823
pod_54,prod,1.2510726769863336,1.0448546898794964,2743.996508981347,6906.930772313236,0.498497295710711,2256.932519865023,node_27,Succeeded,6,88178,Recreate,Auto,669.604240959305
pod_55,dev,1.812206749487315,1.2235194841695136,3730.796102968148,7895.354519683428,1.0308943538426134,8135.616330996505,node_38,Succeeded,2,55788,RollingUpdate,Auto,433.6409324614003
pod_56,default,1.6175507342300344,0.8064707383153393,2588.2690946406906,5933.120068146697,3.577135457362344,4718.104983723441,node_35,Succeeded,3,12450,RollingUpdate,Auto,4.246276727505438
pod_57,dev,0.24419573844438883,2.567310799850584,1693.033978981471,8135.2758824433995,0.9146821072909721,7373.646642959825,node_32,Unknown,4,5389,Recreate,Auto,470.93707931909546
pod_58,dev,1.9300476000145124,1.1120050923430818,570.7554494125977,6652.807341687217,2.1034208613893495,3842.49196659668,node_36,Succeeded,2,68891,Recreate,Manual,495.0113690717831
pod_59,default,1.3881864523078127,1.4509262988212548,639.1128605887385,6304.405149406525,1.8837071505705771,5573.916160638226,node_47,Pending,4,30592,RollingUpdate,Manual,32.37781523413508
pod_60,kube-system,1.6410689568902188,3.7034137906283218,2210.3140190594268,1020.0261286045977,3.390775151843107,7862.765179404946,node_37,Unknown,1,81879,RollingUpdate,Manual,81.28248643889258
pod_61,prod,1.163764668303056,1.2930874250780633,4050.5817109444015,4305.733422775611,1.566552416788607,5973.048973098541,node_38,Pending,5,46290,Recreate,Manual,409.91039685745045
pod_62,default,0.5966019979083738,1.3577856572223967,3917.931893431982,354.2258433470729,3.992732572068421,3387.878410934278,node_24,Succeeded,5,49802,Recreate,Manual,401.50921257031234
pod_63,default,1.022863013757402,2.606423948441339,3993.1366804551726,590.6228564715277,1.5779443503053159,7300.951456121543,node_13,Running,5,43060,Recreate,Auto,120.98200131807646
pod_64,prod,0.9075327393958339,1.0957458343161515,3377.24598407301,5968.277244592403,0.09629812813323335,3459.3300044422194,node_44,Pending,4,50924,RollingUpdate,Manual,721.5228120415467
pod_65,dev,1.3272892278449004,0.5399657576670984,3019.6017764132434,1531.4953792251592,1.3453527216000989,3427.4859904123214,node_8,Unknown,4,28213,Recreate,Auto,397.42288373421974
pod_66,prod,1.8894956566976648,1.0910197721381025,3176.4321914389297,2156.212331380153,2.5378984732482124,3983.4041783178573,node_30,Pending,1,80000,Recreate,Auto,490.0312841945006
pod_67,default,0.6199134559198306,2.5067281950264233,956.5168206725431,5442.881478057554,1.5764162010220022,4313.9035577055065,node_24,Unknown,0,73461,Recreate,Manual,450.57846558414116
pod_68,prod,1.6150546468198177,1.5930959476949553,3594.9524108385276,2498.0428112770514,3.387441494862468,5056.482112749957,node_4,Succeeded,2,94392,Recreate,Auto,453.16534135198117
pod_69,prod,1.9358456226307545,1.4737295981882697,2335.315380299411,5285.829226056193,3.5734587002368388,482.16751267816016,node_41,Running,9,68562,Recreate,Auto,364.20739392144986
pod_70,kube-system,0.5115768869330062,1.0202198620115515,643.6560536859906,3705.024528241891,0.9519643559445723,1528.4136995373337,node_39,Pending,4,80231,RollingUpdate,Auto,510.9178419357806
pod_71,dev,0.9661529953252108,3.5694401949787937,254.89203063395323,5796.650057401152,2.967994526830299,614.4353274570394,node_14,Failed,2,66649,RollingUpdate,Manual,947.2738819247116
pod_72,dev,1.1593755548955378,3.8782181781250937,304.40662005415106,3554.423972715641,3.591603961873408,6655.937196537536,node_38,Pending,1,23836,RollingUpdate,Manual,155.01167629198653
pod_73,dev,1.4021694621514398,1.3274880495144004,1609.077841666816,2609.1834845882636,3.334736566708078,5020.921088927111,node_42,Failed,4,93770,RollingUpdate,Auto,606.2737636769272
pod_74,kube-system,0.38564176152663554,2.772688411181802,3750.807453641259,2661.4265851018577,1.9966255721502995,1574.9987155798435,node_30,Succeeded,0,63706,Recreate,Manual,996.3121694632968
pod_75,prod,0.5879276445769264,3.7749139290549465,279.2964883851122,4300.197003212596,2.8272583790760075,2426.175834198658,node_33,Succeeded,3,9870,RollingUpdate,Manual,418.76619663048933
pod_76,prod,1.5300961967429898,1.8463101983826782,619.1512696460234,3735.7130301323014,3.1981167447539223,502.51516910951705,node_6,Pending,6,23049,RollingUpdate,Auto,686.8526014594842
pod_77,prod,0.5941295908336682,1.8620175133474035,3804.5911989022457,4572.98910135748,3.2245345848214635,1312.9192931166363,node_21,Running,3,63956,Recreate,Auto,798.3529096561921
pod_78,kube-system,1.0268975056394705,1.3833108334803086,2837.4876945948035,4308.724394530621,2.332462686795525,6571.782716729667,node_29,Failed,9,27602,RollingUpdate,Auto,384.8498169364455
pod_79,kube-system,0.15252256539278297,2.7604041673551807,2832.49982384877,1916.6654066894118,2.1610725279007803,1521.122607082858,node_37,Pending,2,10472,Recreate,Manual,509.71913549599634
pod_80,prod,0.936135784153178,2.2163470188194703,719.9549686051943,2167.902845203699,1.3883902860790012,4184.6854441619325,node_20,Pending,2,13261,RollingUpdate,Manual,92.03592206106737
pod_81,prod,0.1440808455369157,0.8319421126663925,2151.2628167930034,4872.744886094929,3.163722349457962,4473.127235180454,node_44,Pending,5,16839,Recreate,Auto,706.0643381245011
pod_82,dev,1.2677660600589575,3.5349307396668923,3427.470515469884,2743.6256392201135,1.2780299962753743,3777.6989798756886,node_33,Pending,6,26080,Recreate,Auto,694.573197991144
pod_83,default,0.5660768215918364,1.6087981482903175,601.1267752922079,7133.32146789382,2.963707748176461,3272.9227203830515,node_3,Unknown,8,92586,Recreate,Auto,851.4128645820799
pod_84,prod,0.10691973474768644,3.3727085619574733,1884.3450912889755,4177.224883142656,1.0325248336112267,6343.86628559445,node_40,Failed,2,48451,RollingUpdate,Auto,800.0224807354986
pod_85,kube-system,1.1212051153218072,2.15066956468954,1485.2320932235496,6011.43364878532,2.8975825768422725,3438.895405958917,node_12,Unknown,9,15656,RollingUpdate,Auto,265.6840319533921
pod_86,default,1.5501593529082214,2.606628238224962,3890.793601368791,4450.951406056989,3.89015120131264,1224.3862191481512,node_21,Pending,0,89495,RollingUpdate,Manual,915.1551277487205
pod_87,default,1.4678368557824328,1.6975051219354693,668.1510435035495,7412.2051699042695,0.9590704007514543,7226.44761182647,node_27,Succeeded,3,80109,RollingUpdate,Manual,420.6577245869976
pod_88,dev,0.9330505726391519,1.8836668205679392,2218.41479533019,3281.9512530386846,1.9307590200984097,4749.755618163652,node_21,Pending,9,11177,Recreate,Auto,131.16670061762125
pod_89,kube-system,1.0127822923108856,3.5953564354367358,2499.8247592352886,6883.74855550254,1.277637440268785,6801.5901011004335,node_0,Succeeded,0,89629,RollingUpdate,Manual,772.6627172114722
pod_90,kube-system,1.5576349143271706,0.9920398920413874,3102.2836956811175,5815.65002072401,2.238782574818283,5315.779853494983,node_45,Succeeded,4,39523,RollingUpdate,Auto,36.93725231757339
pod_91,prod,1.2617199656802782,1.2827283728245424,805.0691351057123,2602.1778034790796,3.859192782048634,5554.977987364823,node_49,Running,2,13656,Recreate,Manual,260.50996350297504
pod_92,kube-system,1.71659515236375,2.320073696356875,2762.395928482351,2162.3550778777562,2.226779432092617,1320.127271269068,node_18,Unknown,6,87201,Recreate,Manual,840.1910626693713
pod_93,dev,1.8077223122932924,1.432797793975724,2034.032889953389,1300.2860257164573,1.8566739214046915,595.5178773204625,node_10,Running,1,83651,Recreate,Auto,680.1443305395316
pod_94,dev,0.8266762858796601,3.779764937489041,3356.717155275624,2649.2641360069542,2.0491057078761186,8126.711842441073,node_10,Pending,5,6326,Recreate,Auto,578.5772375261188
pod_95,default,1.6954204876997494,0.5010020797788892,3365.5126735671797,7203.511811085864,1.8324688832639042,3003.1785119196147,node_30,Succeeded,6,75226,RollingUpdate,Auto,488.08958656134604
pod_96,prod,1.3706399922504688,1.9388428512023084,1804.7400659339332,7273.297299388364,3.363673737655953,2535.6428962547307,node_35,Succeeded,1,5091,RollingUpdate,Manual,110.51088220761952
pod_97,kube-system,0.29641275035651626,0.7954061000742296,619.7168095728309,6725.023873009102,0.006218101948195276,4086.0887771124053,node_10,Unknown,0,74169,Recreate,Auto,395.04943032790584
pod_98,kube-system,1.2870431086778011,1.92116417834348,3809.2451241835306,2567.0670713141208,0.009835495776743475,482.9311514652236,node_24,Running,5,23620,Recreate,Auto,954.5214893684093
pod_99,kube-system,1.9572602481073769,2.3445240118013797,1773.8793516877085,1383.924006272968,0.08598064134869787,4625.312251275544,node_9,Failed,7,58614,Recreate,Manual,66.8578733982026
pod_100,kube-system,1.6361707888790495,3.594952801591641,2984.5282514741334,2543.0282345733567,3.1069962152150126,4950.964574308028,node_31,Unknown,2,64589,RollingUpdate,Manual,80.17718007255425
pod_101,default,0.5181142877554622,0.5349908650656565,2633.2421384652384,1258.3464869760592,3.599634529707979,12.314967493375661,node_45,Running,1,75334,Recreate,Manual,647.7200294843292
pod_102,kube-system,1.767573626362225,0.765842102261326,1054.8128132324862,7998.344723049134,2.9965195211172744,1112.2104126117065,node_44,Succeeded,2,81059,RollingUpdate,Manual,500.7002558458413
pod_103,kube-system,0.2055841905706453,3.250835287812045,1216.0865810723571,624.8125936427604,3.345868539979397,1826.2115383341215,node_38,Running,2,30347,RollingUpdate,Manual,378.18963631512423
pod_104,default,0.8149949222065405,1.8882923195249015,4078.289356803122,1412.293661171136,1.0993447782862122,7484.915617453852,node_2,Running,6,64584,Recreate,Auto,679.9873280663438
pod_105,default,0.16665042842389705,2.2377814267370573,1092.5711668187687,7858.716473404406,2.468560283798883,7420.6840057158015,node_5,Succeeded,0,67722,Recreate,Manual,390.9561137212585
pod_106,default,1.9961985282648458,2.3454527470952593,771.0851316731997,1470.2813567490393,3.2527307561359673,2035.412101269315,node_13,Running,2,65548,RollingUpdate,Auto,368.50632475841815
pod_107,dev,1.1858622576905333,1.3306395657942427,3492.6980960739816,901.7896759562007,3.6925850561185114,7449.788867733528,node_7,Succeeded,0,52448,Recreate,Auto,583.2001934025035
pod_108,dev,1.6716564419155582,2.158620715430713,3261.291116607653,2797.310494573386,3.1823297863191073,2459.503625768233,node_2,Succeeded,3,42622,Recreate,Manual,800.3926726573526
pod_109,prod,1.5782178672290463,1.2769250538216423,2728.350283753957,2231.0589679728155,2.832738794244491,443.24877222240775,node_48,Unknown,3,67555,RollingUpdate,Manual,771.9218144962337
pod_110,kube-system,1.4017121355686717,1.3184337187974744,3573.9647722346995,7264.680948199476,1.510572111393103,6696.028769486232,node_36,Succeeded,2,48530,Recreate,Auto,888.4184664019828
pod_111,dev,1.9012704738240134,1.761461840094513,3943.9717944928807,5868.443669047806,2.885214779664255,4845.77061487145,node_5,Succeeded,1,73029,Recreate,Manual,154.7898205553445
pod_112,kube-system,1.7112362019309657,2.1356698288366958,3693.4377851061577,417.893472519144,2.2137521980092427,1143.3279625891391,node_24,Failed,6,98337,Recreate,Manual,809.0427830498934
pod_113,prod,0.8398720330448619,1.2553898733719169,188.25541664861197,7869.580393664667,3.286866779109398,365.51593407863766,node_21,Pending,3,91433,Recreate,Auto,268.8766183927868
pod_114,kube-system,1.1963084384368134,1.5254186885452576,526.550719638874,6485.742512811317,3.3630283953518725,915.7131900502736,node_42,Pending,5,67732,RollingUpdate,Auto,60.293115856434824
pod_115,dev,0.9986329170260227,1.8471742877702972,613.7110414350168,5065.706590154616,3.697847086998053,6431.480663167239,node_0,Pending,5,45608,RollingUpdate,Auto,375.0077209194298
pod_116,default,0.1042809907578844,0.8333427864495122,2772.884250845044,5309.65705246492,1.7459530117741417,1460.9400671366884,node_44,Succeeded,2,37590,Recreate,Manual,943.3205935815627
pod_117,default,1.918160667809257,1.1072116936699348,3401.5031682799436,2819.8972848431176,0.09442202135759503,6022.581506760806,node_38,Succeeded,0,27970,Recreate,Auto,462.23596167630143
pod_118,kube-system,0.3250947825195808,1.3241253524706789,1099.5608825614577,4161.899796325977,2.9079710036721784,263.73921748005614,node_27,Failed,9,93811,RollingUpdate,Manual,502.1179657139199
pod_119,dev,1.2516489164857167,3.8870238700945743,3383.1882803930116,6362.2030432717675,3.806221130062842,4253.359535952742,node_4,Succeeded,8,7356,Recreate,Manual,679.8203612739846
pod_120,kube-system,1.0894045524393994,2.527724939414875,1025.0800132610925,4920.317135174283,1.590982261583231,7802.859597693718,node_16,Pending,8,81425,RollingUpdate,Manual,456.6415494549121
pod_121,kube-system,0.8592374964088038,3.0636371301307217,1816.6552699967756,4921.178462541102,1.2176774424304249,2690.4853213923143,node_32,Unknown,8,1808,Recreate,Auto,445.6816270541008
pod_122,prod,1.1600224947579778,0.7117231437739651,2057.0312238187125,6938.196659597382,3.288330244575173,6241.347822532423,node_4,Pending,2,73310,Recreate,Manual,355.00219827515343
pod_123,kube-system,1.3431176749865648,3.398157028026376,2418.8889169137683,1996.5193627417107,1.4226235435486099,5008.464353200352,node_21,Unknown,7,2959,Recreate,Auto,450.26291464597955
pod_124,prod,0.41553201785825955,1.515713255059577,3098.0950866513817,7171.268075538082,1.9071885325212068,6151.355361939867,node_31,Running,2,21862,RollingUpdate,Manual,28.305387185790345
pod_125,kube-system,0.8792232635204781,1.6760030962167405,2025.8580901196867,3532.650431293477,2.2729654383958096,2496.280918241754,node_40,Unknown,1,55807,RollingUpdate,Auto,115.21539110272172
pod_126,kube-system,0.7525908523276881,3.119873921074127,2675.854069863593,3333.095763141904,1.881252233228981,5890.4480626880295,node_34,Unknown,2,91272,Recreate,Manual,670.9958339583109
pod_127,prod,0.6133238178695007,3.696458393843317,3658.730573283939,2799.5989582597285,0.9860741598189864,430.871730844613,node_0,Failed,4,39630,RollingUpdate,Auto,790.3506335185851
pod_128,prod,0.19631526246221237,1.3301816510276905,3627.2247231968377,8015.904021440145,0.02778851560887663,319.0878925874076,node_25,Succeeded,7,48158,Recreate,Manual,926.2992839957336
pod_129,prod,1.2826487186616375,1.5479313582439387,3178.6707102220985,7059.632218808227,0.4454599505126571,2540.287211851606,node_41,Succeeded,6,46833,RollingUpdate,Auto,362.5805547864004
pod_130,default,1.831809670500297,1.1124107374607497,3226.738783006977,4631.715485269907,2.6738714285896865,5126.059033074683,node_16,Pending,1,64121,RollingUpdate,Manual,872.2341359991775
pod_131,dev,1.312857420010045,2.262508124217454,3881.685518977084,5580.700611216351,3.351978581090472,3329.9370224459117,node_3,Unknown,2,38908,RollingUpdate,Manual,542.1712717529748
pod_132,default,1.351249085238626,0.9493236525087152,2711.614499467354,3890.8583421607127,3.0362314882882058,2903.9481132770534,node_23,Succeeded,4,48440,RollingUpdate,Manual,649.693344891141
pod_133,prod,1.0364151527166676,3.3747301868037054,3358.233011946678,5006.349043196143,1.776371117299496,3551.7613525177485,node_16,Failed,5,66841,Recreate,Auto,840.4859885685677
pod_134,kube-system,1.645061822720942,3.5158808607968366,4047.2111535125678,868.0915848826725,2.1135623159101695,6930.247405429167,node_31,Running,9,16908,Recreate,Auto,454.6261415205455
pod_135,kube-system,0.7914155041612957,2.6307296338075052,2549.396910347352,6755.823301016801,1.7696659561908237,6442.668723174374,node_24,Pending,9,83752,RollingUpdate,Manual,547.7524579100634
pod_136,default,1.4257404129640348,3.742011452980493,2437.070277459997,984.7969436912516,0.8337725571947816,5557.05575435024,node_9,Pending,6,58153,RollingUpdate,Auto,213.6583848667276
pod_137,dev,1.4359265761769917,1.2836671531493151,3563.242111964195,6426.90852778797,2.362181353508003,3862.2375572222263,node_14,Succeeded,3,3414,RollingUpdate,Manual,952.3991719857245
pod_138,dev,1.2917811252001346,1.0487370624393928,547.0263618858236,4283.3675401470355,3.3644601485491092,1154.0807151067793,node_31,Succeeded,6,48551,Recreate,Auto,76.08671982891735
pod_139,kube-system,1.5542817672577212,3.932733161341809,2208.374376125231,2276.411604541261,3.637485277629462,1349.6530839135658,node_7,Unknown,5,12343,RollingUpdate,Manual,24.30184085884701
pod_140,prod,0.31041043316632655,0.9040492382232771,2102.82810173948,512.9639410518437,0.7282804862599384,2902.7013194517485,node_42,Succeeded,1,53598,Recreate,Manual,790.0987095856103
pod_141,default,1.596943073430649,3.373826917739572,1203.1714164327575,7272.317440095993,2.106573081097235,6094.904616304981,node_14,Unknown,7,47782,Recreate,Auto,193.05356630012483
pod_142,prod,1.4360221420597346,3.121685150501331,2438.993040924839,2267.643337222502,2.8660301003078192,6531.306347521274,node_37,Unknown,7,78060,Recreate,Auto,501.9988963691169
pod_143,dev,0.8438643093677183,1.1030398619197483,1782.9770397251234,2876.048005551002,1.3358849088096094,1438.7564415951838,node_44,Succeeded,9,73679,Recreate,Manual,525.9004592613371
pod_144,kube-system,0.5767602474400342,1.8244371645058375,1974.8296326474704,6687.705175431989,2.794812557896273,163.30265334254545,node_39,Unknown,2,42405,Recreate,Auto,481.93738564574693
pod_145,default,0.5003929566412124,1.8099795304336104,4083.399553162286,4040.449406742549,2.5767663287889118,2038.3656852926488,node_38,Pending,0,76368,Recreate,Manual,353.76898545586175
pod_146,prod,1.9479143919872821,0.8444641135813404,2058.442861854717,3001.6803888903864,0.8926620379829235,4575.5167553108895,node_31,Unknown,2,54737,RollingUpdate,Manual,556.2975189430348
pod_147,kube-system,1.8001964010478855,0.6697254999140749,2956.261005638124,987.4336161234135,3.9203171858687975,6343.906218142746,node_27,Pending,1,18418,Recreate,Manual,343.7692951158263
pod_148,kube-system,0.28936411980811105,1.8089046455031712,1826.20754384689,5299.0672327355405,0.07134924943716703,7402.241650443222,node_28,Failed,7,33968,RollingUpdate,Manual,369.68599839372706
pod_149,dev,0.9414415883394728,2.012770234712637,485.0434294105968,7752.474245274727,1.7976585945979289,2617.0717937339223,node_42,Unknown,2,47787,RollingUpdate,Manual,36.829610724102956
